seqnum,i_wh_id,i_colnam,i_mask,i_sts_stoloc_set,i_sts_lodnum_set,i_sts_lodnum_add,i_sts_exception_set,i_sts_exception,i_sts_gp,i_sts_gp_mb,i_sts_gp_fwi,i_sts_invtyp,i_sts_photo_miss,i_sts_prtfam,i_sts_vg_ais,i_sts_vg_kweker,i_sts_vg_diff,i_sts_asset_typ,i_stoloc_exploc,i_stoloc_rcvloc_new,i_stoloc_rcvloc_add,i_stoloc_rexcploc,i_invmix_train,i_invmix_lpn,i_inv_attr_str17,i_stoloc_on_dc,i_lodnum_on_dc,i_identifier_on_dc,i_have_confirmation,use_location,add_to_lodnum,start_scan,add_scan,new_train,allocate_location,auto_deposit,clear_pre,finish_scan,finish_asset_typ,clear_post,show_error,show_message,show_confirmation,show_parms,open_rf_frm,open_rf_frm_parms_cmd,description
394,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","1","%","%","%","%","%","1","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=Y,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","GAI-CHK-001 - Check on Plant Passport."
395,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","0","%","%","%","%","%","1","%","%","%","%","%","QA","%","%","%","dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
396,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","1","%","%","%","%","%","1","%","%","%","%","%","QA","%","%","%","dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","GAI-CHK-001 - Check on Plant Passport."
397,"----","inv_attr_str8","%","1","1","%","%","%","1","0","0","%","1","%","%","%","%","%","1","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=Y,dlgGpMbNotReceivedIsBroken=N",0,0,0,0,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","GAI-CHK-001 - Check on Plant Passport."
400,"----","inv_attr_str8","%","1","%","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","%","%","0","0","dlgGpMbNotReceivedIsBroken=Y",0,0,0,0,0,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ='1' and nottxt=''",0,"","","","stsScanGpMbFirst","","","","","NAI-S02-06, Scenario c: LDA employee scans follow-up cart PRN before the mother cart PRN for a big batch."
410,"----","inv_attr_str8","%","1","0","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=Y,dlgGpMbNotReceivedIsBroken=N",0,0,1,1,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","","","GAI-CHK-001 - Check on Plant Passport."
413,"----","inv_attr_str8","%","1","0","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=Y,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,1,1,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
414,"----","inv_attr_str8","%","1","0","%","%","%","1","0","0","%","%","%","%","%","1","%","1","%","%","%","%","%","QA","%","%","%","dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,1,1,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","errVeilgroepDiff","","","dc_vg_kweker,dc_vg_ais","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
415,"----","inv_attr_str8","%","1","0","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","QA","%","%","%","dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=N",0,0,1,1,0,0,0,"",0,"","mark usr grote partij as gebroken levering where lodnum=@lodnum","","","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
420,"----","inv_attr_str8","%","1","%","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=Y,dlgGpMbNotReceivedIsBroken=Y",0,0,0,0,0,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ='1' and nottxt=''",0,"","clear usr rf device context where clear_type='all_except_stoloc'","","stsScanGpMbFirst","","","","","GAI-CHK-001 - Check on Plant Passport."
423,"----","inv_attr_str8","%","1","%","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PPQA","%","%","%","dlgGQPlantPassport=Y,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=Y",0,0,0,0,0,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ='1' and nottxt=''",0,"","clear usr rf device context where clear_type='all_except_stoloc'","","stsScanGpMbFirst","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
425,"----","inv_attr_str8","%","1","%","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","QA","%","%","%","dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=Y",0,0,0,0,0,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ='1' and nottxt=''",0,"","clear usr rf device context where clear_type='all_except_stoloc'","","stsScanGpMbFirst","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
430,"----","inv_attr_str8","%","1","%","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PP","%","%","%","dlgAddUnlinkedPAB=Y,dlgGQPlantPassport=Y,dlgGpMbNotReceivedIsBroken=Y",0,0,0,0,0,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ='1' and nottxt=''",0,"","clear usr rf device context where clear_type='all_except_stoloc'","","stsScanGpMbFirst","","","","","GAI-CHK-001 - Check on Plant Passport."
433,"----","inv_attr_str8","%","1","%","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","PPQA","%","%","%","dlgAddUnlinkedPAB=Y,dlgGQPlantPassport=Y,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=Y",0,0,0,0,0,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ='1' and nottxt=''",0,"","clear usr rf device context where clear_type='all_except_stoloc'","","stsScanGpMbFirst","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
435,"----","inv_attr_str8","%","1","%","%","%","%","1","0","0","%","%","%","%","%","%","%","1","%","%","%","%","%","QA","%","%","%","dlgAddUnlinkedPAB=Y,dlgQualityInspection=Y,dlgGpMbNotReceivedIsBroken=Y",0,0,0,0,0,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ='1' and nottxt=''",0,"","clear usr rf device context where clear_type='all_except_stoloc'","","stsScanGpMbFirst","","","","","GFF-CFG-069 (IFT-1755) Quality indication at inbound"
440,"----","inv_attr_str8","%","1","%","%","0","%","%","%","%","*MULT*","%","%","%","%","%","%","1","%","%","%","%","%","%","%","%","%","",0,0,0,0,0,0,0,"",0,"","","errMultipleInvtyp","","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,1,1,0' and hldpfx=@@wh_id and hldnum='LOT.MULT'","NAI-S02-07, Scenario f: Different part families or ASN types with non linked PRNs on 1 physical load."
450,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","*MULT*","%","%","%","%","%","%","1","%","%","%","%","%","%","%","%","%","dlgAddUnlinkedPAB=Y",0,0,0,0,0,0,0,"",0,"","","errMultipleInvtyp","","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,1,1,0' and hldpfx=@@wh_id and hldnum='LOT.MULT'","NAI-S02-07, Scenario f: Different part families or ASN types with non linked PRNs on 1 physical load."
460,"----","inv_attr_str8","%","1","%","0","1","LYRS.CHNG,QTY.CHNG","1","%","%","%","%","%","%","%","%","%","1","%","%","%","%","%","%","%","1","1","",0,0,0,0,0,1,1,"clear usr rf device context where clear_type='clear_for_dummy_load'",1,"2","clear usr rf device context where clear_type='all_except_stoloc'","stsPabExceptionFinished","","","auto_deposit_mov_zone_lngdsc","","","NAI-S03-04, Scenario c/d: Register incorrect or damage (on) number of buckets for a big batch. NAI-S03-06, Scenario d: Execute a correction on the number of shelves during receiving a Danish cart for a big batch."
470,"----","inv_attr_str8","%","1","%","0","1","LYRS.CHNG","0","%","%","%","%","%","%","%","%","%","1","%","%","%","%","%","%","%","1","1","",0,0,0,0,0,1,1,"",1,"2","clear usr rf device context where clear_type='all_except_stoloc'","stsPabExceptionFinished","","","auto_deposit_mov_zone_lngdsc","","","NAI-S03-06, Scenario d: Execute a correction on the number of shelves during receiving a Danish cart for a big batch."
500,"----","inv_attr_str8","%","1","%","0","1","RDX","%","%","%","%","%","%","%","%","%","%","1","%","%","%","%","%","%","%","1","1","",0,0,0,0,0,1,1,"",1,"2","clear usr rf device context where clear_type='all_except_stoloc'","stsPabExceptionFinished","","","auto_deposit_mov_zone_lngdsc","","","NAI-S04-05, Scenario e: The WMS should register the hold code for sealing on the scanned load.Scenario g: Register instable load because of too high, too wide, too low or too heavy."
530,"----","inv_attr_str8","%","1","%","0","1","RDO","%","%","%","%","%","%","%","%","%","%","1","%","%","%","%","%","%","%","1","1","",0,0,0,0,0,1,1,"clear usr rf device context where clear_type='clear_for_dummy_load'",1,"2","clear usr rf device context where clear_type='all_except_stoloc'","stsPabExceptionFinished","","","auto_deposit_mov_zone_lngdsc","","","Hold code PRN missing, not described in the card but is a requirement from the interface meetings."
550,"----","inv_attr_str8","%","1","%","0","1","NOTE.USED","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","",0,0,0,0,0,1,1,"clear usr rf device context where clear_type='clear_for_dummy_load'",1,"2","clear usr rf device context where clear_type='all_except_stoloc'","stsPabExceptionFinished","","","auto_deposit_mov_zone_lngdsc","","","NAI-S03-03, Scenario f: The LDA employee scans to a trolley the barcode of a PRN which is in use and on a receiving location. / NAI-S03-03, Scenario g: The LDA employee scans to a Danish cart the barcode of a PRN which is in use and on a receiving location. / NAI-S03-03, Scenario i: The LDA employee scans to a trolley the barcode of a PRN which is in use and not on a receiving location. / NAI-S03-03, Scenario j: The LDA employee scans to a Danish cart the barcode of a PRN which is in use and not on a receiving location."
560,"----","inv_attr_str8","%","1","%","0","1","EAB.ABS","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","1","1","",0,0,0,0,0,1,1,"clear usr rf device context where clear_type='clear_for_dummy_load'",1,"2","clear usr rf device context where clear_type='all_except_stoloc'","stsPabExceptionFinished","","","auto_deposit_mov_zone_lngdsc","","","NAI-S03-02, Scenario d: The LDA employee scans the barcode of an unknown PRN on a Danish cart. / NAI-S03-01, Scenario c: The LDA employee scans a barcode of an unknown PRN on a trolley cart."
561,"----","inv_attr_str8","%","1","%","0","1","PRT.ABS","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","1","1","",0,0,0,0,0,1,1,"clear usr rf device context where clear_type='clear_for_dummy_load'",1,"2","clear usr rf device context where clear_type='all_except_stoloc'","stsPabExceptionFinished","","","auto_deposit_mov_zone_lngdsc","","","Unknown PAB, Request ASN Download resulted in error"
570,"----","inv_attr_str8","%","1","%","0","1","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","%","%","%","%","1","1","",0,0,0,0,0,1,1,"clear usr rf device context where clear_type='clear_for_dummy_load'",1,"2","clear usr rf device context where clear_type='all_except_stoloc'","stsPabExceptionFinishedDefault","","","auto_deposit_mov_zone_lngdsc","","","Default exception."
580,"----","inv_attr_str8","%","1","%","%","%","%","%","%","%","%","1","%","%","%","%","%","1","%","%","%","%","%","%","%","%","%","",0,0,1,1,0,0,0,"",0,"","","","stsPabAdded","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","CR803580, Change vraagtekenspoor LOT.MULTI to PHOTO.MISS"
590,"----","inv_attr_str8","%","1","%","0","1","%","%","%","%","%","1","%","%","%","%","%","1","%","%","%","%","%","%","%","1","1","",0,0,0,0,0,1,1,"clear usr rf device context where clear_type='clear_for_dummy_load'",1,"2","clear usr rf device context where clear_type='all_except_stoloc'","stsPabExceptionFinishedDefault","","","auto_deposit_mov_zone_lngdsc","","","CR803580, Change vraagtekenspoor LOT.MULTI to PHOTO.MISS"
595,"2","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","456,567","%","%","%","1","%","%","%","%","%","%","%","%","%","",0,0,1,1,0,0,0,"",0,"","","errVeilgroepDiff","stsPabAdded","","dc_vg_kweker,dc_vg_ais","","","NAI-S04-01, Scenario a: PRN contains auction group 'photo missing '."
600,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","456,567","%","%","%","1","%","%","%","%","%","%","%","%","%","",0,0,1,1,0,0,0,"",0,"","","","stsPabAdded","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","NAI-S04-01, Scenario a: PRN contains auction group 'photo missing '."
610,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","456,567","%","%","%","1","%","%","%","%","%","%","%","%","%","dlgAddUnlinkedPAB=Y",0,0,1,1,0,0,0,"",0,"","","","stsPabAdded","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","NAI-S04-01, Scenario a: PRN contains auction group 'photo missing '."
620,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","","456,567","%","%","1","%","%","%","%","%","%","%","%","%","",0,0,1,1,0,0,0,"",0,"","","","stsPabAdded","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","NAI-S04-01, Scenario a: PRN contains auction group 'photo missing '."
630,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","%","%","","456,567","%","%","1","%","%","%","%","%","%","%","%","%","dlgAddUnlinkedPAB=Y",0,0,1,1,0,0,0,"",0,"","","","stsPabAdded","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='PHOTO.MISS' and invtyp='10' and nottxt=''","NAI-S04-01, Scenario a: PRN contains auction group 'photo missing '."
635,"----","inv_attr_str8","%","1","1","1","%","%","%","%","%","%","%","%","%","%","%","2","%","%","%","%","%","%","%","%","1","1","",0,0,0,0,0,0,0,"",0,"","","","stsPabAlreadyAdded","","","","",""
640,"----","inv_attr_str8","%","1","1","%","0","%","%","%","%","30","%","%","%","%","%","%","1","%","%","%","%","%","%","%","1","1","",0,0,0,0,0,1,0,"",1,"2","clear usr rf device context where clear_type='all_except_stoloc'","","stsPabFinished","","","","","Danish cart received for Fulfilment - allocate location."
650,"----","inv_attr_str8","%","1","1","%","0","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","%","%","%","%","1","1","",0,0,0,0,0,0,0,"",1,"2","clear usr rf device context where clear_type='all_except_stoloc'","","stsPabFinished","","","","","Danish cart received."
660,"----","inv_attr_str8","%","1","0","%","0","%","%","%","%","%","%","%","%","%","%","%","0","0","0","%","%","%","%","%","%","%","",0,0,1,0,0,0,0,"",0,"","","","","dlgPabNoRcvlocInvtyp[1|2]","","","","NAI-S03-03, Scenario i: The LDA employee scans to a trolley the barcode of a PRN which is in use and not on a receiving location. / NAI-S03-03, Scenario j: The LDA employee scans to a Danish cart the barcode of a PRN which is in use and not on a receiving location."
670,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","0","0","0","%","%","%","%","%","%","%","dlgPabNoRcvlocInvtyp=1",0,0,0,0,0,0,0,"",0,"","","","stsPabAlreadyReceived","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='NOTE.USED' and invtyp='10'","NAI-S03-03, Scenario i: The LDA employee scans to a trolley the barcode of a PRN which is in use and not on a receiving location. / NAI-S03-03, Scenario j: The LDA employee scans to a Danish cart the barcode of a PRN which is in use and not on a receiving location."
680,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","0","0","0","%","%","%","%","%","%","%","dlgPabNoRcvlocInvtyp=2",0,0,0,0,0,0,0,"",0,"","","","stsPabAlreadyReceived","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='NOTE.USED' and invtyp='20'","NAI-S03-03, Scenario i: The LDA employee scans to a trolley the barcode of a PRN which is in use and not on a receiving location. / NAI-S03-03, Scenario j: The LDA employee scans to a Danish cart the barcode of a PRN which is in use and not on a receiving location."
690,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","0","1","1","%","%","%","%","%","%","%","",0,0,0,0,0,0,0,"",0,"","","","","dlgExistingPabOptions[1|2]","stoloc","","","NAI-S03-03, Scenario f: The LDA employee scans to a trolley the barcode of a PRN which is in use and on a receiving location. / NAI-S03-03, Scenario g: The LDA employee scans to a Danish cart the barcode of a PRN which is in use and on a receiving location."
700,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","0","1","1","%","%","%","%","%","%","%","dlgExistingPabOptions=1",0,0,0,0,0,0,0,"",0,"","","","","dlgPabInvtyp[1|2]","","","","NAI-S03-03, Scenario f: The LDA employee scans to a trolley the barcode of a PRN which is in use and on a receiving location. / NAI-S03-03, Scenario g: The LDA employee scans to a Danish cart the barcode of a PRN which is in use and on a receiving location."
710,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","0","1","1","%","%","%","%","%","%","%","dlgExistingPabOptions=1,dlgPabInvtyp=1",0,0,0,0,0,0,0,"",0,"","","","stsPabAlreadyReceived","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,1,0,0' and hldpfx=@@wh_id and hldnum='NOTE.USED' and invtyp='10'","NAI-S03-03, Scenario f: The LDA employee scans to a trolley the barcode of a PRN which is in use and on a receiving location. / NAI-S03-03, Scenario g: The LDA employee scans to a Danish cart the barcode of a PRN which is in use and on a receiving location."
720,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","0","1","1","%","%","%","%","%","%","%","dlgExistingPabOptions=1,dlgPabInvtyp=2",0,0,0,0,0,0,0,"",0,"","","","stsPabAlreadyReceived","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,1,0,0' and hldpfx=@@wh_id and hldnum='NOTE.USED' and invtyp='20'","NAI-S03-03, Scenario f: The LDA employee scans to a trolley the barcode of a PRN which is in use and on a receiving location. / NAI-S03-03, Scenario g: The LDA employee scans to a Danish cart the barcode of a PRN which is in use and on a receiving location."
730,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","0","1","1","%","%","%","%","%","%","%","dlgExistingPabOptions=2",0,0,0,0,0,0,0,"",0,"","","","","","","","","NAI-S03-03, Scenario f: The LDA employee scans to a trolley the barcode of a PRN which is in use and on a receiving location. / NAI-S03-03, Scenario g: The LDA employee scans to a Danish cart the barcode of a PRN which is in use and on a receiving location."
740,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","1","%","1","%","%","%","0","%","%","%","%","%","",0,0,1,1,0,0,0,"",0,"","","errVeilgroepDiff","stsPabStarted","","dc_vg_kweker,dc_vg_ais","","","NAI-S04-02, Scenario b: Grower auction group and AIS auction group do not match."
750,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","0","%","1","%","%","%","0","%","%","%","%","%","",0,0,1,1,0,0,0,"",0,"","","","stsPabStarted","","","","",""
751,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","1","%","%","%","%","%","",0,0,1,1,1,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ=@dc_asset_typ and nottxt=''",0,"","","stsInvmixTrainReq","","","invmix_train_diff_list","","","803579 - Required train mixing rules not matching."
752,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","0","%","1","%","%","%","2","%","%","%","%","%","",0,0,0,0,0,0,0,"",0,"","","","","dlgSortValdtErr[Y|N]","invmix_train_diff_list","","","NAI-S05-02 - Scenario d: LDA employee scans PRN of a different sortation."
753,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","2","%","%","%","%","%","dlgSortValdtErr=Y",0,0,1,1,0,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ=@dc_asset_typ and nottxt=''",0,"","","","stsSortValdtAddTrain","","","","","NAI-S05-02 - Scenario d: LDA employee scans PRN of a different sortation."
754,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","2","%","%","%","%","%","dlgSortValdtErr=N",0,0,1,1,1,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ=@dc_asset_typ and nottxt=''",0,"","","","stsSortValdtNewTrain","","","","","NAI-S05-02 - Scenario d: LDA employee scans PRN of a different sortation."
755,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","1","%","1","%","%","%","2","%","%","%","%","%","",0,0,0,0,0,0,0,"",0,"","","errVeilgroepDiff","","dlgSortValdtErr[Y|N]","invmix_train_diff_list,dc_vg_kweker,dc_vg_ais","","","NAI-S04-02, Scenario b: Grower auction group and AIS auction group do not match. / NAI-S05-02 - Scenario d: LDA employee scans PRN of a different sortation."
760,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%","%",0,0,0,0,0,0,0,"",0,"","","","stsPabAlreadyReceived","","","USR_IDENTIFY_LOAD_EX","publish data where disable_back='1' and dvc_var_nam='hldpfx,hldnum,asset_typ,invtyp,nottxt' and dvc_ena_flg='0,0,0,0,0' and hldpfx=@@wh_id and hldnum='NOTE.USED' and invtyp='10'","NAI-S03-03, Scenario i: The LDA employee scans to a trolley the barcode of a PRN which is in use and not on a receiving location. / NAI-S03-03, Scenario j: The LDA employee scans to a Danish cart the barcode of a PRN which is in use and not on a receiving location."
770,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","0","%","1","%","%","%","2","%","%","%","%","%","",0,0,0,0,0,0,0,"",0,"","","","","dlgSortValdtErr[Y|N]","invmix_train_diff_list","","","NAI-S05-02 - Scenario d: LDA employee scans PRN of a different sortation."
780,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","2","%","%","%","%","%","dlgSortValdtErr=Y",0,0,1,1,0,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ=@dc_asset_typ and nottxt=''",0,"","","","stsSortValdtAddTrain","","","","","NAI-S05-02 - Scenario d: LDA employee scans PRN of a different sortation."
790,"----","inv_attr_str8","%","1","0","%","%","%","%","%","%","%","%","%","%","%","%","%","1","%","%","%","2","%","%","%","%","%","dlgSortValdtErr=N",0,0,1,1,1,0,0,"process usr rf exception where lodnum=@lodnum and acttyp='L' and prc_hldpfx=@wh_id and prc_hldnum='LOT.SORT' and prc_reacod='OVERIG' and invtyp=@dc_invtyp and asset_typ=@dc_asset_typ and nottxt=''",0,"","","","stsSortValdtNewTrain","","","","","NAI-S05-02 - Scenario d: LDA employee scans PRN of a different sortation."
800,"----","inv_attr_str8","%","1","1","%","%","%","%","%","%","%","0","%","%","%","1","%","1","%","%","%","%","%","PP","%","%","%","dlgGQPlantPassport=Y",0,0,0,0,0,0,0,"",0,"","","errVeilgroepDiff","","","dc_vg_kweker,dc_vg_ais","","","GAI-CHK-001 - Check on Plant Passport."
